latent_id,M_mean,H_mean,camera,light,latent_split,acquisition_role,attempt_count,rejection_reason,final_exposure,final_P_mean,final_P_max,final_S_mean
R1V058,0.6561529636383057,0.40583381056785583,Olympus E-PL2,A,validation_like_id,light_only,1,,0.16268258026750682,0.000570073549170047,0.05635152757167816,1.0
R1V058,0.6561529636383057,0.40583381056785583,Olympus E-PL2,D65,validation_like_id,appearance_only,1,,-0.48039804530202956,0.0006660331273451447,0.07198895514011383,1.0
R1V058,0.6561529636383057,0.40583381056785583,Canon 300D,A,validation_like_id,joint,1,,0.11120221060798507,0.0002971620997413993,0.033445149660110474,1.0
R1V059,0.7187108993530273,0.8433085680007935,Canon 300D,A,validation_like_id,reference,1,,-0.2697161597746678,0.00036789756268262863,0.04079447314143181,1.0
R1V059,0.7187108993530273,0.8433085680007935,Canon 5DMarkII,A,validation_like_id,camera_only,1,,0.041753503729461516,0.00036789756268262863,0.04079447314143181,1.0
R1V059,0.7187108993530273,0.8433085680007935,Canon 300D,FL2,validation_like_id,light_only,1,,0.2904178202792447,0.00036789756268262863,0.04079447314143181,1.0
R1V059,0.7187108993530273,0.8433085680007935,Canon 300D,A,validation_like_id,appearance_only,1,,-0.4648353040163565,0.00038964732084423304,0.05650574713945389,1.0
R1V059,0.7187108993530273,0.8433085680007935,Canon 5DMarkII,FL2,validation_like_id,joint,1,,0.24800055164940304,0.0005309244734235108,0.04576830193400383,1.0
R1V060,0.7801846265792847,0.2806366980075836,Canon 5DMarkII,D65,validation_like_id,reference,1,,0.029125529221419755,0.0005271595437079668,0.05171873793005943,1.0
R1V060,0.7801846265792847,0.2806366980075836,Nikon D80,D65,validation_like_id,camera_only,1,,0.03719149098739338,0.0005271595437079668,0.05171873793005943,1.0
R1V060,0.7801846265792847,0.2806366980075836,Canon 5DMarkII,A,validation_like_id,light_only,1,,0.29646608108790984,0.0005271595437079668,0.05171873793005943,1.0
R1V060,0.7801846265792847,0.2806366980075836,Canon 5DMarkII,D65,validation_like_id,appearance_only,1,,-0.016034526964311846,0.0003844414895866066,0.04641930013895035,1.0
R1V060,0.7801846265792847,0.2806366980075836,Nikon D80,A,validation_like_id,joint,1,,0.2764787726679071,0.0002663056366145611,0.04174351319670677,1.0
R1V061,0.8431434631347656,0.7184422016143799,Nikon D80,A,validation_like_id,reference,1,,-0.45370756403357504,0.0002959725388791412,0.0321965329349041,1.0
R1V061,0.8431434631347656,0.7184422016143799,Olympus E-PL2,A,validation_like_id,camera_only,1,,0.16844135059480647,0.0002959725388791412,0.0321965329349041,1.0
R1V061,0.8431434631347656,0.7184422016143799,Nikon D80,FL2,validation_like_id,light_only,1,,-0.1629517461877602,0.0002959725388791412,0.0321965329349041,1.0
R1V061,0.8431434631347656,0.7184422016143799,Nikon D80,A,validation_like_id,appearance_only,1,,-0.20862708597923313,0.0012319507077336311,0.06875423341989517,1.0
R1V061,0.8431434631347656,0.7184422016143799,Olympus E-PL2,FL2,validation_like_id,joint,1,,-0.16554243633014598,0.00030136207351461053,0.040346238762140274,1.0
R1V062,0.9061428904533386,0.15529105067253113,Olympus E-PL2,FL2,validation_like_id,reference,1,,0.028394832571263406,0.0,0.0,0.9999999403953552
R1V062,0.9061428904533386,0.15529105067253113,Canon 300D,FL2,validation_like_id,camera_only,1,,-0.04955128501876277,0.0,0.0,0.9999999403953552
R1V062,0.9061428904533386,0.15529105067253113,Olympus E-PL2,D65,validation_like_id,light_only,1,,0.07114768833124774,0.0,0.0,0.9999999403953552
R1V062,0.9061428904533386,0.15529105067253113,Olympus E-PL2,FL2,validation_like_id,appearance_only,1,,0.056773140604118866,0.00029357351013459265,0.04627763107419014,1.0
R1V062,0.9061428904533386,0.15529105067253113,Canon 300D,D65,validation_like_id,joint,1,,0.15388779526836083,0.001013397821225226,0.11746064573526382,0.9999999403953552
R1V063,0.9687891602516174,0.5946728587150574,Canon 300D,D65,validation_like_id,reference,1,,-0.11288057084763098,0.0003616278409026563,0.0605718232691288,1.0
R1V063,0.9687891602516174,0.5946728587150574,Canon 5DMarkII,D65,validation_like_id,camera_only,1,,-0.22684822586480313,0.0003616278409026563,0.0605718232691288,1.0
R1V063,0.9687891602516174,0.5946728587150574,Canon 300D,A,validation_like_id,light_only,1,,0.010342757963027305,0.0003616278409026563,0.0605718232691288,1.0
R1V063,0.9687891602516174,0.5946728587150574,Canon 300D,D65,validation_like_id,appearance_only,1,,-0.45976872148114345,0.0,0.0,1.0
R1V063,0.9687891602516174,0.5946728587150574,Canon 5DMarkII,A,validation_like_id,joint,1,,-0.4218863518438921,0.0,0.0,1.0
R1V064,0.03120276890695095,0.03111407160758972,Canon 5DMarkII,D65,id_test,reference,1,,0.19406076631928304,0.0002821125672198832,0.029863636940717697,1.0
R1V064,0.03120276890695095,0.03111407160758972,Nikon D80,D65,id_test,camera_only,1,,-0.12231393398815105,0.0002821125672198832,0.029863636940717697,1.0
R1V064,0.03120276890695095,0.03111407160758972,Canon 5DMarkII,A,id_test,light_only,1,,-0.01874398656742332,0.0002821125672198832,0.029863636940717697,1.0
R1V064,0.03120276890695095,0.03111407160758972,Canon 5DMarkII,D65,id_test,appearance_only,1,,-0.2994199604907051,0.0005395030602812767,0.05058852210640907,1.0
R1V064,0.03120276890695095,0.03111407160758972,Nikon D80,A,id_test,joint,1,,-0.12679075110224536,0.0,0.0,1.0
R1V065,0.09395904839038849,0.46880272030830383,Nikon D80,A,id_test,reference,1,,-0.18377118710484663,0.00032057659700512886,0.045059315860271454,1.0
R1V065,0.09395904839038849,0.46880272030830383,Olympus E-PL2,A,id_test,camera_only,1,,-0.2685408191217615,0.00032057659700512886,0.045059315860271454,1.0
