candidate,subject_id,reference_f_mel,actual_f_mel,abs_delta_f_mel,reference_f_blood,actual_f_blood,abs_delta_f_blood,reference_logrmse,actual_logrmse,abs_delta_logrmse
V2R-PS,p015,0.0716914858610358,0.07169148622000845,3.5897265715512106e-10,0.097192824479117,0.09719282203383427,2.4452827263043986e-09,0.0464988596394662,0.0464988596394662,0.0
V2R-PS,p017,0.0737016105840664,0.0737016099744108,6.096555899004485e-10,0.0352924650284417,0.035292467341197405,2.3127557022273315e-09,0.0792557717801228,0.07925577178012164,1.1657341758564144e-15
V2R-PS,p018,0.1359972221475767,0.13599722214757679,8.326672684688674e-17,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0956801363887303,0.09568013638873035,5.551115123125783e-17
V2R-PS,p019,0.1027006323874794,0.10270063228304337,1.0443602926901718e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0719996443443349,0.07199964434433494,4.163336342344337e-17
V2R-PS,p020,0.059542958148752,0.05954295787581836,2.7293363402680626e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1811439240781484,0.18114392407814853,1.3877787807814457e-16
V2R-PS,p021,0.050647093121039,0.05064709329408876,1.7304975508114495e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1353003733130337,0.1353003733130338,8.326672684688674e-17
V2R-PS,p022,0.0542465671789015,0.0542465672940319,1.1513039827049099e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1689777213672086,0.1689777213672086,0.0
V2R-PS,p023,0.1029208740429403,0.1029208741714399,1.2849959984961856e-10,0.0999999999999999,0.09999999999999981,8.326672684688674e-17,0.0510341782570252,0.05103417825702526,6.245004513516506e-17
V2R-PS,p024,0.1088930059963149,0.10889300593729376,5.902114907918588e-11,0.0999999999999999,0.09999999999999998,8.326672684688674e-17,0.0632148206417634,0.06321482064176343,2.7755575615628914e-17
V2R-PS,p025,0.0938678618577891,0.0938678615667492,2.9103990051293493e-10,0.043266336840982,0.043266338186892156,1.3459101541601903e-09,0.0627624321965348,0.06276243219653499,1.942890293094024e-16
V2R-PS,p026,0.1104549626948422,0.11045496269708785,2.245648111909304e-12,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0591062413990095,0.05910624139900956,5.551115123125783e-17
V2R-PS,p027,0.1108478912461668,0.11084789071637864,5.297881577881469e-10,0.0633222800174699,0.06332228341199289,3.394522996025273e-09,0.055025757275989,0.05502575727598904,4.163336342344337e-17
V2R-PS,p028,0.0862471212916183,0.08624712169006381,3.9844551269485606e-10,0.074824326239942,0.07482432385101925,2.3889227401818758e-09,0.0518412798845607,0.05184127988456079,9.020562075079397e-17
V2R-PS,p029,0.106895052580108,0.10689505207075038,5.093576116443899e-10,0.0745608847937816,0.07456088798981296,3.1960313562340303e-09,0.0560250724040031,0.056025072404002806,2.914335439641036e-16
V2R-PS,p031,0.0806400976086045,0.0806400976337483,2.5143803705773848e-11,0.0774639862676414,0.07746398616977686,9.786453591953403e-11,0.0492759781570935,0.0492759781570936,9.71445146547012e-17
V2R-PS,p032,0.0900686622601873,0.09006866223997956,2.0207738260502595e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0468366928324169,0.04683669283241691,1.3877787807814457e-17
V2R-PS,p033,0.0752285984500041,0.07522859848013148,3.012738669649906e-11,0.0521179617028332,0.05211796156047384,1.4235936041107067e-10,0.0370422244772448,0.0370422244772449,1.0408340855860843e-16
V2R-PS,p034,0.0615531319219549,0.06155313271045568,7.885007785590759e-10,0.0440472616425296,0.04404725842630519,3.2162244117950323e-09,0.0537054770079942,0.05370547700799406,1.3877787807814457e-16
V2R-PS,p037,0.0833294508369638,0.08332945069254136,1.4442244622436817e-10,0.0429724520667285,0.042972452524620154,4.5789165514786845e-10,0.0413767160625232,0.04137671606252328,7.632783294297951e-17
V2R-PS,p038,0.1144746517276014,0.1144746522933008,5.656993901093088e-10,0.0971736527918196,0.09717364891126416,3.880555432544952e-09,0.0636365430455768,0.06363654304557742,6.245004513516506e-16
V2R-PS,p040,0.0717360088933006,0.07173600883962337,5.367722932803076e-11,0.0684374120528728,0.06843741233698676,2.841139545850524e-10,0.0582525836774817,0.05825258367748167,2.7755575615628914e-17
V2R-PS,p041,0.098264755246264,0.09826475531104541,6.478140246457542e-11,0.0398707212979145,0.03987072103859949,2.5931501390630274e-10,0.0644633130918,0.06446331309180002,1.3877787807814457e-17
V2R-PS,p042,0.0738060494685656,0.07380604930651948,1.620461265172679e-10,0.0421211401873645,0.0421211407518631,5.644986006414499e-10,0.0542461320556162,0.05424613205561631,1.1102230246251565e-16
V2R-PS,p043,0.0795602544393549,0.0795602542615874,1.7776749516862367e-10,0.0277653865934197,0.0277653871206917,5.272720003668407e-10,0.0651276134520452,0.06512761345204497,2.220446049250313e-16
V2R-PS,p044,0.1379246301094452,0.1379246301093984,4.679590048795035e-14,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0598363783354609,0.05983637833546097,6.938893903907228e-17
V2R-PS,p045,0.1045086757503071,0.1045086783119063,2.5615991966487783e-09,0.060402959504756,0.06040294363556005,1.586919595036873e-08,0.0649289225025532,0.06492892250255239,8.049116928532385e-16
V2R-PS,p046,0.137650528590222,0.1376505290696262,4.794041830180618e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1123881125540125,0.11238811255401251,1.3877787807814457e-17
V2R-PS,p047,0.1189157794543745,0.11891577923121,2.231645007677585e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0766806121113143,0.07668061211131444,1.3877787807814457e-16
V2R-PS,p048,0.0997614203078375,0.09976142030783758,8.326672684688674e-17,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0891527241653773,0.08915272416537738,8.326672684688674e-17
V2R-PS,p049,0.1194642517065337,0.11946425164290528,6.362842197571439e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0653118869933414,0.06531188699334146,6.938893903907228e-17
V2R-PS,p050,0.0903170276337583,0.09031702766267768,2.8919380778980042e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0520253305393603,0.052025330539360294,6.938893903907228e-18
V2R-PS,p051,0.0951638026740452,0.09516380256138783,1.1265736954424455e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0515188920067662,0.0515188920067662,0.0
