candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0
V2R-PSG,p006,p006_neutral_front,1,True,30,15,1,2.63820585816746e-09,0.11889631604380213,0.08783237840046242,13.174856760069362,0.05378307563521627,0.014238875973053773,3.0893167141226012,0.053775252380666744,-0.0009173092057690622,0.13940577489134853,0.38580235056355633,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p011,p011_neutral_front,1,True,7,11,2,1.4636213557155768e-08,0.058035735041546264,0.041724545540943805,6.258681831141571,0.06245018678372178,0.03202823568298868,3.828903713658472,0.06194573877254504,-0.007921570377478747,0.3732889911864766,0.16729715651465535,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p019,p019_neutral_front,1,True,9,9,1,8.004676455951048e-09,0.11083327913486772,0.09999999999999999,14.999999999999998,0.07135234374361614,0.01755871011437791,3.6552793032381516,0.07134764770951917,-0.0008186110343152461,0.10373321250027841,0.6878447319215593,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p032,p032_neutral_front,1,True,10,14,1,2.490916362209813e-09,0.09776094022459365,0.09999999999999999,14.999999999999998,0.046170010304854577,0.012295618359409025,2.366713570131209,0.046168701170800276,-0.0003476834073180845,0.025708892340532755,1.7958770721546307,False,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p044,p044_neutral_front,1,True,18,7,2,1.992985381003771e-08,0.1471959986619668,0.09999999999999987,14.99999999999998,0.0589553737501937,0.013024724549815755,3.34980632123355,0.058947439032693776,-0.0009672256778429582,0.3098442047484866,0.19027425024150513,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p049,p049_neutral_front,1,True,29,10,1,2.2203450223162974e-09,0.12815872388844982,0.09999999999999999,14.999999999999998,0.064437139977631,0.01342844502871154,3.103254937153786,0.06442743173781285,-0.0011185026447346964,0.20472978773181452,0.31474237672751526,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p050,p050_neutral_front,1,True,4,11,1,1.9694951487271837e-09,0.09808599850104072,0.09999999999999999,14.999999999999998,0.0537777839902196,0.014442092532377401,2.7209929098561205,0.05374719250040388,0.0018136563134315141,0.0339307747016101,1.5849265000031878,False,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p051,p051_neutral_front,1,True,24,11,1,2.714871034373545e-09,0.10308871550371697,0.09999999999999999,14.999999999999998,0.052797653991622104,0.013572051768042648,2.655730979596828,0.052782014550504346,0.00128499299974632,0.055389047077739215,0.9532147017716326,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
V2R-PSG,p003,p003_neutral_front,2,True,9,10,1,4.554788429565739e-09,0.08830536533063003,0.06989793498771862,10.484690248157793,0.05495560247358998,0.019996550136113962,3.3109001110265415,0.05491873106866184,-0.00201276452752077,0.12492241791591004,0.4399178577425763,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p010,p010_neutral_front,2,True,30,10,1,3.168644567862338e-09,0.09310122669645984,0.09999999999999999,14.999999999999998,0.06627798121174945,0.022498222369560644,3.781241171242564,0.0662382802057507,-0.0022936932858316585,0.0727337682326018,0.9112408558263224,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p013,p013_neutral_front,2,True,8,12,1,1.7521326215105339e-09,0.08933566903738509,0.09999999999999999,14.999999999999998,0.052973501209634524,0.016060843834253345,2.8978179045718124,0.05297268277944316,0.00029446486316000276,0.07558012764415048,0.7008919257062727,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p018,p018_neutral_front,2,True,10,9,2,1.731739593404692e-08,0.14764907792001364,0.09999999999999999,14.999999999999998,0.09389089842742801,0.0187678236966238,4.780914276517911,0.09384628707764965,-0.002893995378188015,0.2863075203985125,0.3279372413855596,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p020,p020_neutral_front,2,True,6,8,2,2.983685784574785e-07,0.06839407263844588,0.09999999999999999,14.999999999999998,0.18904670070611368,0.07013898914698322,10.837952070957947,0.187791720869629,0.021746830129705443,0.27055280854864483,0.6987423332259494,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p023,p023_neutral_front,2,True,19,13,4,1.4780148653956953e-08,0.11310709233191583,0.09999999999999998,14.999999999999996,0.0525224969979635,0.014115523103631471,2.947348882596221,0.052506333871027815,0.0013029176202822865,0.08921678421914363,0.5887064576207122,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p037,p037_neutral_front,2,True,15,9,1,1.6505143654512953e-09,0.09140168670105255,0.045855307786558795,6.8782961679838195,0.03928156429810965,0.011976153608917583,2.0441860953624076,0.03927353515967245,-0.0007941849712096603,0.13745873588358706,0.2857698642840493,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p038,p038_neutral_front,2,True,27,12,1,4.208315520671545e-09,0.1247087252743829,0.09999999999999999,14.999999999999998,0.06149214156376698,0.013053132850299463,2.9230075584394486,0.06146118495745867,-0.0019509530295254932,0.15532450379589183,0.39589465963832926,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p041,p041_neutral_front,2,True,32,8,2,1.4982430185136715e-08,0.1072557536377516,0.04085828947858791,6.128743421788187,0.059996909684903024,0.02061939310911485,3.5294233436630447,0.059884458098909896,-0.003671627696038147,0.07823874376413094,0.7668439803401981,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0666245897112294
V2R-PSG,p008,p008_neutral_front,3,True,11,8,2,2.3401224620739862e-07,0.10556624973241027,0.09999999999999999,14.999999999999998,0.2489037438527724,0.08201234425368108,14.650566087550839,0.24857201540069987,0.012846278198791607,0.24454802046892507,1.0178113213735902,False,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p014,p014_neutral_front,3,True,22,6,1,6.834908724380467e-09,0.17510714923760234,0.09999999999999999,14.999999999999998,0.11189958142586505,0.02309610319936152,6.060917556454496,0.11175978103818295,-0.0055917497781290074,0.3163864289197167,0.3536800924361381,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p015,p015_neutral_front,3,True,16,11,1,6.450660121878104e-09,0.09804984925956067,0.09999999999999999,14.999999999999998,0.04956330061702103,0.01722253188192304,2.875113427935339,0.04953143878670326,0.0017768904784103011,0.13633621739213275,0.36353730186356975,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p021,p021_neutral_front,3,True,32,9,2,6.513937894307859e-08,0.07583565119089052,0.09999999999999999,14.999999999999998,0.15666807308825367,0.061163219528989406,8.737743998128034,0.1559351915818286,0.015136087721892164,0.3130906041516113,0.5003921261475754,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p022,p022_neutral_front,3,True,0,9,2,2.2797694824693448e-08,0.08026753763946709,0.09999999999999999,14.999999999999998,0.1925758221844429,0.07433168599953921,11.018035983274928,0.19157207857718853,0.01963634384577968,0.3035463164089812,0.6344198950020434,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p028,p028_neutral_front,3,True,21,14,2,2.5329088088912777e-08,0.1112458227615113,0.09338759941560029,14.008139912340043,0.052393831486520194,0.016180751693852167,2.9724373476504957,0.052387036211603816,0.0008438096953609662,0.07195083874371776,0.7281893081627885,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p033,p033_neutral_front,3,True,2,13,2,1.3239179263459587e-08,0.09819612291130982,0.06639477554753333,9.95921633213,0.038729861557972006,0.013448857768912902,2.1529078270925295,0.038706065025484744,0.0013574632748715218,0.17494066234247999,0.22138856135202492,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p043,p043_neutral_front,3,True,28,8,1,5.713462093222971e-09,0.10346710567076026,0.0311581212395975,4.673718185939625,0.05371727668642059,0.021561026426010464,3.2615708183901115,0.05370302733097323,-0.0012372025275626736,0.20894111726852152,0.25709289482445724,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p046,p046_neutral_front,3,True,9,9,2,2.4382552120076307e-08,0.1734925688010691,0.09999999999999999,14.999999999999998,0.10809921415145966,0.023149287272332505,5.971429333927924,0.10801016476589186,-0.004386844812395037,0.3075360483278093,0.3515009532678731,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.2073376803816358
V2R-PSG,p005,p005_neutral_front,4,True,2,7,2,4.9051225048910444e-08,0.12174242426040081,0.08676583944565729,13.014875916848593,0.05868276588056682,0.0166234056998726,3.457912240460702,0.05866932778268305,-0.0012557821950926124,0.1358455305140367,0.43198157244123114,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0591382593474812
V2R-PSG,p012,p012_neutral_front,4,True,16,19,1,5.374579429585584e-09,0.08027356782735326,0.09999999976784864,14.999999965177295,0.04783598091623515,0.01546126744587356,2.6414761832286255,0.04783593440246754,6.670877929830048e-05,0.13496989706723028,0.3544196295297419,True,False,False,False,True,15.0,1.4970349624431978,0.4999999999999999,1.0591382593474812
V2R-PSG,p025,p025_neutral_front,4,True,30,11,1,9.537240828130003e-09,0.10162756939489039,0.04479466647858504,6.719199971787757,0.05938566193443991,0.0205241660768771,3.47867050195503,0.059308506996423725,-0.003026192532993143,0.09451058246231865,0.6283493381084277,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0591382593474812
