candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-PSG,p027,4,680,0.02538505552352155,0.061557505517355615,fit
V2R-PSG,p027,4,690,-0.04612897395076271,-0.1001378314781326,edge_diagnostic
V2R-PSG,p027,4,700,0.011591905210460274,0.02612698156225579,edge_diagnostic
V2R-PSG,p029,4,400,-0.18161052888065246,-0.6485081370732177,edge_diagnostic
V2R-PSG,p029,4,410,-0.11145762554499092,-0.44755498494157164,edge_diagnostic
V2R-PSG,p029,4,420,-0.034387374476843924,-0.16151760940742554,fit
V2R-PSG,p029,4,430,-0.009519053697216645,-0.04761811510620828,fit
V2R-PSG,p029,4,440,0.005170572263814455,0.02690951141560416,fit
V2R-PSG,p029,4,450,0.010086240564284976,0.05274225180630454,fit
V2R-PSG,p029,4,460,-0.01597076405837977,-0.07706175370947377,fit
V2R-PSG,p029,4,470,0.0028602486469441746,0.014231665178908282,fit
V2R-PSG,p029,4,480,0.017040214297376483,0.08636545912131544,fit
V2R-PSG,p029,4,490,0.008684477502656163,0.04238370475514475,fit
V2R-PSG,p029,4,500,0.002261015459500526,0.010682118257253626,fit
V2R-PSG,p029,4,510,0.002666558842042588,0.01243704775061727,fit
V2R-PSG,p029,4,520,0.0031241456040171367,0.01455535264041563,fit
V2R-PSG,p029,4,530,0.0002472461539252957,0.0011669233364737241,fit
V2R-PSG,p029,4,540,0.0031973273925936796,0.015406877534901886,fit
V2R-PSG,p029,4,550,-0.014987975014410043,-0.06808892547856571,fit
V2R-PSG,p029,4,560,-0.009344016483839285,-0.041907565777499434,fit
V2R-PSG,p029,4,570,-0.013768592166713806,-0.06170988353861473,fit
V2R-PSG,p029,4,580,-0.011252321672239995,-0.05066911621852421,fit
V2R-PSG,p029,4,590,0.012299670155977244,0.050632772297969364,fit
V2R-PSG,p029,4,600,0.015910070092891637,0.05590468802678861,fit
V2R-PSG,p029,4,610,0.005151169489494956,0.016279410515071868,fit
V2R-PSG,p029,4,620,0.009506964765523429,0.028292076239035735,fit
V2R-PSG,p029,4,630,0.000608261445835423,0.001696106214660098,fit
V2R-PSG,p029,4,640,0.0007877639404953451,0.00210509182542562,fit
V2R-PSG,p029,4,650,-0.0019345801719390376,-0.004962358911771103,fit
V2R-PSG,p029,4,660,0.005096009410997526,0.012727869111906265,fit
V2R-PSG,p029,4,670,-0.024699136608859473,-0.05762926221467135,fit
V2R-PSG,p029,4,680,0.04228422430887374,0.10362808179703453,fit
V2R-PSG,p029,4,690,-0.02234400200251241,-0.04927774112565109,edge_diagnostic
