candidate,reference,metric,fold,delta_candidate_minus_reference
global_stage2b,global_stage2a,macro_f1,1,-0.032008298765948684
global_stage2b,global_stage2a,macro_f1,2,-0.020499204227150902
global_stage2b,global_stage2a,macro_f1,3,0.015334705419595085
global_stage2b,global_stage2a,macro_f1,4,-0.011127422146498533
global_stage2b,global_stage2a,auc_normal,0,0.015245623941276043
global_stage2b,global_stage2a,auc_normal,1,0.0005646527385656519
global_stage2b,global_stage2a,auc_normal,2,0.0039525691699604515
global_stage2b,global_stage2a,auc_normal,3,-0.006775832862789377
global_stage2b,global_stage2a,auc_normal,4,0.010728402032749829
global_stage2b,global_stage2a,auc_mild,0,-0.012419871794871695
global_stage2b,global_stage2a,auc_mild,1,-0.0036057692307692735
global_stage2b,global_stage2a,auc_mild,2,0.011240465676435107
global_stage2b,global_stage2a,auc_mild,3,-0.01967081493376155
global_stage2b,global_stage2a,auc_mild,4,0.020473705339221104
global_stage2b,global_stage2a,auc_severe,0,-0.01845556095191847
global_stage2b,global_stage2a,auc_severe,1,-0.05439533754249637
global_stage2b,global_stage2a,auc_severe,2,-0.0019047619047619646
global_stage2b,global_stage2a,auc_severe,3,-0.021428571428571463
global_stage2b,global_stage2a,auc_severe,4,0.01857142857142846
global_stage2b,global_stage2a,recall_normal,0,0.08695652173913049
global_stage2b,global_stage2a,recall_normal,1,0.0434782608695653
global_stage2b,global_stage2a,recall_normal,2,0.0
global_stage2b,global_stage2a,recall_normal,3,0.13043478260869562
global_stage2b,global_stage2a,recall_normal,4,0.0
global_stage2b,global_stage2a,recall_mild,0,-0.04166666666666674
global_stage2b,global_stage2a,recall_mild,1,-0.10416666666666663
global_stage2b,global_stage2a,recall_mild,2,-0.04255319148936171
global_stage2b,global_stage2a,recall_mild,3,-0.08510638297872342
global_stage2b,global_stage2a,recall_mild,4,-0.021276595744680882
global_stage2b,global_stage2a,recall_severe,0,0.0
global_stage2b,global_stage2a,recall_severe,1,0.0
global_stage2b,global_stage2a,recall_severe,2,0.0
global_stage2b,global_stage2a,recall_severe,3,0.0
global_stage2b,global_stage2a,recall_severe,4,0.0
global_stage2b,global_stage2a,severe_vs_rest_auc,0,-0.01845556095191847
global_stage2b,global_stage2a,severe_vs_rest_auc,1,-0.05439533754249637
global_stage2b,global_stage2a,severe_vs_rest_auc,2,-0.0019047619047619646
global_stage2b,global_stage2a,severe_vs_rest_auc,3,-0.021428571428571463
global_stage2b,global_stage2a,severe_vs_rest_auc,4,0.01857142857142846
global_stage2b,global_stage2a,normal_vs_abnormal_auc,0,0.015245623941276043
global_stage2b,global_stage2a,normal_vs_abnormal_auc,1,0.0005646527385656519
global_stage2b,global_stage2a,normal_vs_abnormal_auc,2,0.0039525691699604515
global_stage2b,global_stage2a,normal_vs_abnormal_auc,3,-0.006775832862789377
global_stage2b,global_stage2a,normal_vs_abnormal_auc,4,0.010728402032749829
