cohort,level,variable,SEX,sex_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,brightness_apex_pred,1,male,285,285,0,158,-1.7474632333038258,-1.3427780319272113,-0.7670818940895342,0.6203706002882718,1.4958550268871704,2.4958550268871704,4.127932478851182,4.590168936000036,5.261389773250148,1.5666138596086447,1.3958465519543828,1.8754844265988986,1.0,2.4958550268871704,0.05263157894736842
all_exif_522,patient_group_median,brightness_residual,1,male,285,285,0,245,-1.3463929564708994,-1.2876200368693695,-1.0473975027970606,-0.9169613378336021,-0.777783121774533,6.141139578901154,6.3859658608645296,6.534833192106353,6.908693675880719,1.9411405263562675,3.4457690936961027,7.058100916734755,0.24807190511263744,-0.8577831217745331,0.017543859649122806
all_exif_522,patient_group_median,device_centered_brightness,1,male,285,285,0,196,-1.4884792626728112,-1.4117647058823524,-1.0377880184331798,-0.38709677419354843,0.0691244239631336,0.5294117647058822,1.376579018704256,1.895483870967745,2.2442396313364052,0.10486034821398835,0.7291396639082398,0.9165085388994307,0.46028734074274863,0.11764705882352892,0.02456140350877193
formal_global_meanbg_500,image,ExposureTime,0,female,218,218,0,21,0.0022222222222222222,0.005611111111111111,0.01,0.02,0.020004,0.030006,0.040008,0.040008,0.050009,0.021961912906044708,0.009151387253809495,0.010006000000000001,0.010002,0.030006,0.22935779816513763
formal_global_meanbg_500,image,FNumber,0,female,218,218,0,3,1.89,1.89,1.89,1.89,1.89,1.9,1.9,2.0,2.0,1.8963302752293576,0.01503670167154098,0.010000000000000009,0.0,1.89,0.5504587155963303
formal_global_meanbg_500,image,ISOSpeedRatings,0,female,218,218,0,116,50.0,64.51,80.0,168.25,253.0,400.0,800.0,1250.0,1250.0,327.10091743119267,239.82923821223014,231.75,115.5,400.0,0.08256880733944955
formal_global_meanbg_500,image,BrightnessValue,0,female,218,218,0,137,-2.66,-2.0911,-1.4405,0.3425,5.7,7.375,8.9,10.048999999999996,10.4,4.11651376146789,3.756475913996583,7.0325,2.9499999999999993,7.2,0.03669724770642202
formal_global_meanbg_500,image,log2_exposure_time,0,female,218,218,0,21,-8.813781191217037,-7.47783452909704,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.658411596849636,0.7074259814118385,0.5852510108792792,0.5849625007211561,-5.058605178895445,0.22935779816513763
formal_global_meanbg_500,image,log2_iso_gain,0,female,218,218,0,116,-1.0,-0.6326210273969034,-0.3219280948873623,0.7506017363798916,1.3391261153613163,2.0,3.0,3.643856189774725,3.643856189774725,1.3831119672118914,0.9754650396384378,1.2493982636201084,0.6608738846386837,2.0,0.08256880733944955
formal_global_meanbg_500,image,log2_fnumber,0,female,218,218,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,1.0,1.0,0.9231664838433338,0.011177258373414736,0.007613184109875104,0.0,0.9183862344463479,0.5504587155963303
formal_global_meanbg_500,image,aperture_value_from_f,0,female,218,218,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,2.0,2.0,1.8463329676866675,0.02235451674682947,0.015226368219750208,0.0,1.8367724688926959,0.5504587155963303
formal_global_meanbg_500,image,time_value_from_t,0,female,218,218,0,21,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643856189774724,6.643856189774724,7.477834529097038,8.813781191217037,5.658411596849636,0.7074259814118385,0.5852510108792792,0.5849625007211561,5.058605178895445,0.22935779816513763
formal_global_meanbg_500,image,EV100,0,female,218,218,0,22,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,9.329833366209485,10.665780028329483,7.504744564536302,0.7082614903309661,0.6004773790990292,0.5849625007211561,6.895377647788141,0.22935779816513763
formal_global_meanbg_500,image,relative_optical_exposure,0,female,218,218,0,22,-10.665780028329483,-9.329833366209485,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.504744564536302,0.7082614903309661,0.6004773790990292,0.5849625007211561,-6.895377647788141,0.22935779816513763
formal_global_meanbg_500,image,combined_exposure_gain,0,female,218,218,0,140,-9.626872482823785,-9.12581400527404,-8.518724573934861,-6.990013261237658,-6.053947262977461,-5.173926931999809,-4.218321051358261,-3.3072645428270313,-2.6794690970086115,-6.12163259732441,1.3268267648733814,1.8160863292378497,0.8800203309776524,-5.49585502688717,0.05045871559633028
formal_global_meanbg_500,image,sensitivity_value,0,female,218,218,0,116,4.0,4.367378972603097,4.678071905112637,5.750601736379892,6.339126115361316,7.0,8.0,8.643856189774725,8.643856189774725,6.3831119672118914,0.9754650396384378,1.2493982636201082,0.6608738846386837,7.0,0.08256880733944955
formal_global_meanbg_500,image,brightness_apex_pred,0,female,218,218,0,141,-2.320530902991389,-1.692735457172974,-0.7816789486417379,0.1739269319998078,1.0539472629774607,1.990013261237658,3.5187245739348576,4.12581400527404,4.626872482823785,1.1216325973244115,1.3268267648733807,1.8160863292378502,0.8800203309776529,0.4958550268871704,0.05045871559633028
formal_global_meanbg_500,image,brightness_residual,0,female,218,218,0,196,-1.527783121774533,-1.0628824842615112,-1.0145053604660166,-0.8733550268871704,5.881348217858743,6.160070714909709,6.379895497288544,6.633784916033467,6.6552837612214235,2.9948811641434787,3.478790859448235,7.033425741796879,0.574399535468153,6.150843093062903,0.013761467889908258
formal_global_meanbg_500,image,device_centered_brightness,0,female,218,218,0,137,-2.1176470588235285,-1.4658525345622122,-1.123502304147465,-0.6490918948224451,-0.1440769856329629,0.3488072648414201,1.0803198698834362,1.631658986175114,1.7926267281105992,-0.10514025083250238,0.717585168796475,0.9978991596638652,0.5029818378964488,-0.11764705882352944,0.03669724770642202
formal_global_meanbg_500,image,ExposureTime,1,male,282,282,0,28,0.0024390243902439024,0.0042817391304347825,0.007170329670329671,0.01,0.02,0.020004,0.030303030303030304,0.040008,0.040008,0.01856114942540308,0.008757962494690021,0.010004,0.01,0.01,0.25177304964539005
formal_global_meanbg_500,image,FNumber,1,male,282,282,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.8988297872340427,0.01798712764197395,0.010000000000000009,0.0,1.9,0.5709219858156028
formal_global_meanbg_500,image,ISOSpeedRatings,1,male,282,282,0,105,50.0,50.0,64.0,154.0,210.0,400.0,800.0,1250.0,1600.0,297.82978723404256,242.79484647033252,246.0,98.0,200.0,0.09219858156028368
formal_global_meanbg_500,image,BrightnessValue,1,male,282,282,0,194,-2.67,-2.0785,-1.4489999999999998,0.465,2.3200000000000003,7.275,9.1,10.419,10.9,3.527340425531915,3.713024735706526,6.8100000000000005,3.21,7.6,0.024822695035460994
formal_global_meanbg_500,image,log2_exposure_time,1,male,282,282,0,28,-8.679480099505446,-7.86834595535074,-7.123937256749141,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.044394119358453,-4.643567679616601,-4.643567679616601,-5.932537730867598,0.7617426325504589,1.0002885101581231,0.5852510108792792,-6.643856189774724,0.25177304964539005
formal_global_meanbg_500,image,log2_iso_gain,1,male,282,282,0,105,-1.0,-1.0,-0.6438561897747247,0.6229303509201767,1.070389327891398,2.0,3.0,3.643856189774725,4.0,1.1879623981332956,1.0521983233429932,1.3770696490798233,0.6321062985155375,1.0,0.09219858156028368
