cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,sensitivity_value,HONOR/BVL-AN00,1.0,mild,161,161,0,18,4.0,4.0,4.678071905112637,6.0,6.678071905112637,7.321928094887363,8.321928094887362,8.643856189774725,8.643856189774725,6.632540595978609,1.0780212814901216,1.3219280948873626,0.6780719051126374,7.0,0.14906832298136646
all_exif_522,patient_group_median,brightness_apex_pred,HONOR/BVL-AN00,1.0,mild,161,161,0,55,-1.7474632333038258,-1.5543063763714078,-0.7816789486417379,0.1739269319998078,1.1739269319998078,2.4958550268871704,3.817783121774533,4.49585502688717,4.5662443547785685,1.3058338602369652,1.4944609589100957,2.3219280948873626,1.0,0.4958550268871704,0.08695652173913043
all_exif_522,patient_group_median,brightness_residual,HONOR/BVL-AN00,1.0,mild,161,161,0,127,-1.527783121774533,-1.3343929564708996,-1.069711216661895,-0.9758550268871704,-0.8958550268871704,-0.7858550268871705,-0.7277831217745331,0.47773244815733273,2.9341449731128293,-0.8555854130319963,0.3796638431080393,0.18999999999999995,0.09385618977472443,-0.8939269319998078,0.031055900621118012
all_exif_522,patient_group_median,device_centered_brightness,HONOR/BVL-AN00,1.0,mild,161,161,0,140,-1.4884792626728112,-1.4202764976958526,-1.0645161290322582,-0.5898617511520737,-0.11059907834101385,0.45161290322580644,1.1935483870967742,1.7013824884792637,2.2442396313364052,-0.05057675244010651,0.7246286801929153,1.0414746543778801,0.5391705069124424,0.3317972350230415,0.024844720496894408
all_exif_522,patient_group_median,ExposureTime,HONOR/BVL-AN00,2.0,severe,98,98,0,16,0.0022222222222222222,0.002432520325203252,0.006953781512605043,0.01,0.01125,0.02,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.01514894229913616,0.006737134213298133,0.01,0.005952380952380952,0.01,0.41836734693877553
all_exif_522,patient_group_median,FNumber,HONOR/BVL-AN00,2.0,severe,98,98,0,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.903,2.0,1.9010204081632651,0.0101015254455221,0.0,0.0,1.9,0.9897959183673469
all_exif_522,patient_group_median,ISOSpeedRatings,HONOR/BVL-AN00,2.0,severe,98,98,0,17,50.0,50.0,64.0,200.0,320.0,500.0,800.0,1018.0000000000007,1600.0,381.18367346938777,277.3361259212467,300.0,140.0,200.0,0.15306122448979592
all_exif_522,patient_group_median,BrightnessValue,HONOR/BVL-AN00,2.0,severe,98,98,0,90,-2.35,-2.0589999999999997,-1.762,-0.55,0.7,1.54,3.580999999999999,4.329300000000001,4.63,0.6728571428571428,1.5879217111761976,2.09,0.99,-1.83,0.02040816326530612
all_exif_522,patient_group_median,log2_exposure_time,HONOR/BVL-AN00,2.0,severe,98,98,0,16,-8.813781191217037,-8.683509132256793,-7.171299204823876,-6.643856189774724,-6.4828921423310435,-5.643856189774724,-5.044394119358453,-5.044394119358453,-5.044394119358453,-6.207450239142032,0.7239881320618959,1.0,0.742713413585121,-6.643856189774724,0.41836734693877553
all_exif_522,patient_group_median,log2_iso_gain,HONOR/BVL-AN00,2.0,severe,98,98,0,16,-1.0,-1.0,-0.6438561897747247,1.0,1.6780719051126378,2.321928094887362,3.0,3.342270252040742,4.0,1.539626185685103,1.122737081067572,1.3219280948873622,0.6780719051126378,1.0,0.15306122448979592
