cohort,level,variable,scale,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion,missing_n,invalid_n
formal_global_meanbg_500,patient_group_median,log2_fnumber,log2,483,483,0,5,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9241202491094784,0.01232851439956265,0.007613184109875104,0.007613184109875104,0.925999418556223,0.494824016563147,0,0
formal_global_meanbg_500,patient_group_median,aperture_value_from_f,raw_or_derived,483,483,0,5,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8482404982189569,0.0246570287991253,0.015226368219750208,0.015226368219750208,1.851998837112446,0.494824016563147,0,0
formal_global_meanbg_500,patient_group_median,time_value_from_t,raw_or_derived,483,483,0,44,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643567679616601,6.643567679616601,6.7892259838904465,7.845490050944375,8.813781191217037,5.8001248689331675,0.7428304472821708,1.584962500721156,0.5849625007211561,5.643567679616601,0.2194616977225673,0,0
formal_global_meanbg_500,patient_group_median,EV100,raw_or_derived,483,483,0,46,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.480340148509297,8.480340148509297,8.632709943855772,9.69748888805682,10.665780028329483,7.648365367152125,0.7427215098704554,1.5839471920383978,0.5849625007211561,7.480340148509297,0.2194616977225673,0,0
formal_global_meanbg_500,patient_group_median,relative_optical_exposure,raw_or_derived,483,483,0,46,-10.665780028329483,-9.69748888805682,-8.632709943855772,-8.480340148509297,-7.480340148509297,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.648365367152125,0.7427215098704554,1.5839471920383978,0.5849625007211561,-7.480340148509297,0.2194616977225673,0,0
formal_global_meanbg_500,patient_group_median,combined_exposure_gain,raw_or_derived,483,483,0,259,-10.261389773250148,-9.508525105907623,-8.922583103539795,-7.241553288922181,-6.416837206203139,-5.425501072812027,-4.218321051358261,-3.5744648615835373,-2.6794690970086115,-6.376694935003488,1.3894892856594865,1.8160522161101538,0.9328858041414634,-6.49585502688717,0.045548654244306416,0,0
formal_global_meanbg_500,patient_group_median,sensitivity_value,raw_or_derived,483,483,0,182,4.0,4.0,4.604071323668861,5.678071905112637,6.238786859587116,7.0,8.0,8.643856189774725,9.0,6.271670432148637,1.0190166242121474,1.3219280948873626,0.6757776639068229,7.0,0.06832298136645963,0,0
formal_global_meanbg_500,patient_group_median,brightness_apex_pred,raw_or_derived,483,483,0,260,-2.320530902991389,-1.4255351384164623,-0.7816789486417379,0.4255010728120281,1.4168372062031391,2.241553288922181,3.922583103539792,4.508525105907623,5.261389773250148,1.3766949350034878,1.3894892856594865,1.8160522161101529,0.9328858041414625,1.4958550268871704,0.045548654244306416,0,0
formal_global_meanbg_500,patient_group_median,brightness_residual,raw_or_derived,483,483,0,398,-1.527783121774533,-1.2776550268871703,-1.031624228670722,-0.8958196557746286,-0.32181907433085166,6.158446711077819,6.394565734042387,6.613386202503621,6.908693675880719,2.4813485432573814,3.497649801278049,7.054266366852448,0.8740359525563187,-0.9839269319998079,0.010351966873706004,0,0
formal_global_meanbg_500,patient_group_median,device_centered_brightness,raw_or_derived,483,483,0,268,-2.1176470588235285,-1.4117647058823524,-1.0820276497695853,-0.47058823529411775,0.0,0.47058823529411675,1.2898617511520736,1.7981892111683384,2.2442396313364052,0.01691195412246233,0.7349406016743247,0.9411764705882345,0.47058823529411775,-0.11764705882352944,0.026915113871635612,0,0
