m,h,shading,specular,illuminant_name,deltae00
0.1,0.0,0.5,0.1,FL2,0.00951715140398
0.1,0.0,0.5,0.1,FL11,0.0668736841989
0.1,0.0,1.0,0.0,D65,0.0450620855014
0.1,0.0,1.0,0.0,A,0.0271914547184
0.1,0.0,1.0,0.0,FL2,0.0128921086426
0.1,0.0,1.0,0.0,FL11,0.0848833023504
0.1,0.0,1.0,0.03,D65,0.0439758986836
0.1,0.0,1.0,0.03,A,0.0263510794656
0.1,0.0,1.0,0.03,FL2,0.0125728148263
0.1,0.0,1.0,0.03,FL11,0.0838606584179
0.1,0.0,1.0,0.1,D65,0.0415440427213
0.1,0.0,1.0,0.1,A,0.0246121091644
0.1,0.0,1.0,0.1,FL2,0.0119113667863
0.1,0.0,1.0,0.1,FL11,0.0814224506192
0.1,0.0,1.5,0.0,D65,0.0479010863735
0.1,0.0,1.5,0.0,A,0.0293116332464
0.1,0.0,1.5,0.0,FL2,0.0136269798116
0.1,0.0,1.5,0.0,FL11,0.0896478341264
0.1,0.0,1.5,0.03,D65,0.0472675533518
0.1,0.0,1.5,0.03,A,0.0287501916693
0.1,0.0,1.5,0.03,FL2,0.0133999297203
0.1,0.0,1.5,0.03,FL11,0.0887246721131
0.1,0.0,1.5,0.1,D65,0.0458548581542
0.1,0.0,1.5,0.1,A,0.0275647960961
0.1,0.0,1.5,0.1,FL2,0.0129472775344
0.1,0.0,1.5,0.1,FL11,0.0869536472089
0.1,0.1,0.5,0.0,D65,0.0424070721695
0.1,0.1,0.5,0.0,A,0.0245879756269
0.1,0.1,0.5,0.0,FL2,0.0131949002145
0.1,0.1,0.5,0.0,FL11,0.0833051985869
0.1,0.1,0.5,0.03,D65,0.0396151842187
0.1,0.1,0.5,0.03,A,0.0228022520517
0.1,0.1,0.5,0.03,FL2,0.0123982448917
0.1,0.1,0.5,0.03,FL11,0.0799036866909
0.1,0.1,0.5,0.1,D65,0.034435855991
0.1,0.1,0.5,0.1,A,0.019695494849
0.1,0.1,0.5,0.1,FL2,0.0108680158041
0.1,0.1,0.5,0.1,FL11,0.0719956249279
0.1,0.1,1.0,0.0,D65,0.0486014484252
0.1,0.1,1.0,0.0,A,0.0285129457241
0.1,0.1,1.0,0.0,FL2,0.014686065686
0.1,0.1,1.0,0.0,FL11,0.0915529263392
0.1,0.1,1.0,0.03,D65,0.0473791507981
0.1,0.1,1.0,0.03,A,0.027580144847
0.1,0.1,1.0,0.03,FL2,0.0143486714639
0.1,0.1,1.0,0.03,FL11,0.0902555531509
0.1,0.1,1.0,0.1,D65,0.0446643188811
0.1,0.1,1.0,0.1,A,0.0256869380444
0.1,0.1,1.0,0.1,FL2,0.0136363778266
0.1,0.1,1.0,0.1,FL11,0.0874106779931
0.1,0.1,1.5,0.0,D65,0.0516923777989
0.1,0.1,1.5,0.0,A,0.0307876072773
0.1,0.1,1.5,0.0,FL2,0.0155109330251
0.1,0.1,1.5,0.0,FL11,0.0972310861808
0.1,0.1,1.5,0.03,D65,0.0509557273722
0.1,0.1,1.5,0.03,A,0.0301394018343
0.1,0.1,1.5,0.03,FL2,0.0152639314377
0.1,0.1,1.5,0.03,FL11,0.0960058076181
0.1,0.1,1.5,0.1,D65,0.0493438860232
0.1,0.1,1.5,0.1,A,0.0287993158643
0.1,0.1,1.5,0.1,FL2,0.0147806004005
0.1,0.1,1.5,0.1,FL11,0.0936724976512
0.1,0.2,0.5,0.0,D65,0.0447696683652
0.1,0.2,0.5,0.0,A,0.0253113370983
0.1,0.2,0.5,0.0,FL2,0.0145290212504
0.1,0.2,0.5,0.0,FL11,0.0875912103774
0.1,0.2,0.5,0.03,D65,0.0417247640514
0.1,0.2,0.5,0.03,A,0.0234170271816
0.1,0.2,0.5,0.03,FL2,0.0136585694294
0.1,0.2,0.5,0.03,FL11,0.0839646610071
0.1,0.2,0.5,0.1,D65,0.0361287540568
