fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
1,cheek_mean_log2_y,stage2b_mlp_calibrated,55,-2.0358386338057137,-2.0298193483277327,0.21538185545046867,45,-1.9258940357619918,-1.8501373212148311,0.42176542291393909,-0.10994459804372192,-0.1796820271129016,0.32469784579066308,-0.33860587456624097
1,cheek_mean_log2_rg,raw,55,0.94223362319633419,0.96195877679621755,0.10566932631629469,45,1.0134693533146253,1.0246889657757281,0.16606441982117268,-0.071235730118291096,-0.062730188979510548,0.13614104254702161,-0.52324948293008011
1,cheek_mean_log2_rg,stage2a_ridge_calibrated,55,1.0018461870776161,1.0192368857617349,0.10689564953409154,45,0.95071523768321531,0.95507548279949195,0.1634032252093203,0.051130949394400771,0.06416140296224293,0.13521969011954676,0.37813242545664955
1,cheek_mean_log2_rg,stage2b_mlp_calibrated,55,1.0029259274505744,1.0051559795741181,0.10678263110966407,45,0.94775238010635088,0.95370539086783856,0.16027128457480941,0.055173547344223528,0.051450588706279499,0.13347626715474514,0.41335848327447089
1,cheek_mean_log2_bg,raw,55,-0.62992694546472838,-0.61093382613495162,0.13494007371388658,45,-0.5575990280076023,-0.55863778013427834,0.11607158122988427,-0.072327917457126079,-0.05229604600067328,0.12681624965553634,-0.57033635400499716
1,cheek_mean_log2_bg,stage2a_ridge_calibrated,55,-0.61255554195292361,-0.59658730369193425,0.13009877018660043,45,-0.57811563973884639,-0.57749270418266696,0.11687784231883949,-0.034439902214077223,-0.019094599509267285,0.12433686063059628,-0.27698867447198838
1,cheek_mean_log2_bg,stage2b_mlp_calibrated,55,-0.61450520880422088,-0.60688782781045603,0.12563501060224558,45,-0.57787866221693229,-0.58297501920327677,0.11841089278072936,-0.036626546587288589,-0.023912808607179259,0.12244426292545653,-0.29912831938550399
1,forehead_minus_cheek_log2_y,raw,54,-0.013523712461224092,0.043431511657083255,0.29087328873957408,43,-0.01547455605409925,0.10589138890986401,0.42032540733808366,0.0019508435928751577,-0.062459877252780752,0.35399182467039514,0.005510984878511262
1,forehead_minus_cheek_log2_y,stage2a_ridge_calibrated,54,0.022088817820481835,0.066156295845067103,0.29891689822765982,43,-0.044655824140836464,0.057555929428495002,0.41639103999066934,0.066744641961318296,0.0086003664165721014,0.35567049301565423,0.18765864268189558
1,forehead_minus_cheek_log2_y,stage2b_mlp_calibrated,54,0.030048222917615559,0.080845403781584391,0.29732556902856933,43,-0.056783148749374596,0.049484799395979599,0.41811314984569109,0.086831371666990148,0.031360604385604791,0.35581949351951209,0.24403208157067588
1,forehead_minus_cheek_log2_rg,raw,54,-0.038588483367547839,-0.042655395588585998,0.10991678685858992,43,-0.097701337843075622,-0.091801483512014004,0.11969224507950649,0.059112854475527783,0.049146087923428006,0.11434168140488013,0.5169843030925102
1,forehead_minus_cheek_log2_rg,stage2a_ridge_calibrated,54,-0.07232854064935644,-0.076659889042809209,0.11024439573229125,43,-0.063176073912291367,-0.067170265085872899,0.12026901547941284,-0.0091524667370650736,-0.0094896239569363106,0.11478435320815153,-0.0797361877403958
1,forehead_minus_cheek_log2_rg,stage2b_mlp_calibrated,54,-0.061905566813319858,-0.067552233419930746,0.10998065256239166,43,-0.071640243772314524,-0.076677195963202799,0.1204754938935958,0.0097346769589946661,0.0091249625432720527,0.1147389211774035,0.084841977413604941
1,forehead_minus_cheek_log2_bg,raw,54,-0.091321947885529928,-0.085296616644521095,0.10664792629051405,43,-0.17781770570618075,-0.1622867671113449,0.12858339750386957,0.086495757820650818,0.076990150466823809,0.11685462558339418,0.74019969161530941
1,forehead_minus_cheek_log2_bg,stage2a_ridge_calibrated,54,-0.12165259146235428,-0.10226850928192845,0.10967642792058577,43,-0.1413968331780007,-0.1235766483624772,0.12658860291311336,0.019744241715646413,0.021308139080548752,0.11745409059982247,0.16810178014929228
1,forehead_minus_cheek_log2_bg,stage2b_mlp_calibrated,54,-0.1100851322285836,-0.091925469607506444,0.10977403765891659,43,-0.15893844629161594,-0.14297188581268119,0.12631551988512213,0.048853314063032338,0.051046416205174749,0.11737495603543957,0.41621582416850345
2,cheek_mean_log2_y,raw,58,-1.6376201271617523,-1.6096228354654607,0.14792933385363288,42,-2.1775176687858213,-2.2140355464544896,0.443419680866806,0.539897541624069,0.60441271098902893,0.30820079516909399,1.7517720592766637
2,cheek_mean_log2_y,stage2a_ridge_calibrated,58,-1.9153977239201287,-1.9155347478272629,0.1583130252160859,42,-1.888853914857864,-1.8971282631296795,0.41523597049361932,-0.026543809062264723,-0.018406484697583325,0.2944702811342842,-0.09014087588064694
