camera_name,illuminant_name,matrix_rank,condition_number,matrix_3x3,training_deltae00_median,training_deltae00_p95,loocv_deltae00_median,loocv_deltae00_p95,negative_linear_srgb_rate,out_of_gamut_rate,finite,qualification_status,failure_reasons
Nikon D200,FL2,3,9.1900461772,0.694825674034 0.318985948992 0.0434705267718 0.254548878657 0.784294863552 -0.104495218193 0.0368072329144 -0.107456988124 0.727739725937,0.631549321308,1.78813735576,0.772208562751,1.9608523116,0.0138888888889,0.0138888888889,True,PASS,
Nikon D3,FL2,3,9.14573078796,0.705360162457 0.327135326097 0.0469239153972 0.237000472963 0.761924185012 -0.123110282234 0.0441992935717 -0.0928983686748 0.742635141596,0.616826813544,1.87137764133,0.757914974029,2.05134344284,0.0138888888889,0.0138888888889,True,PASS,
Nikon D300s,FL2,3,10.0844071319,0.729610443231 0.322645052972 0.0688901433427 0.216685497248 0.791538147225 -0.211980178507 0.0406111088856 -0.117718963635 0.810049092287,0.664835159679,2.54858886741,0.74593236378,2.80257667415,0.0277777777778,0.0277777777778,True,PASS,
Nikon D40,FL2,3,9.67660065049,0.741752338305 0.353635949072 0.0239005833723 0.182340127189 0.751363292658 -0.0748339284348 0.065646113495 -0.109042014342 0.730055996171,0.527730779666,1.33972549044,0.553134810902,1.49899327078,0.0138888888889,0.0138888888889,True,PASS,
Nikon D50,FL2,3,9.4239204446,0.701766371294 0.318875081511 0.0328767898147 0.228991567683 0.776387010829 -0.0943567549051 0.0576077131889 -0.0989441043936 0.739436607583,0.564601033874,1.94459888245,0.609881297814,2.16280912077,0.0138888888889,0.0138888888889,True,PASS,
Nikon D5100,FL2,3,10.9989023259,0.732380484976 0.310813532896 0.0687710536698 0.222142152754 0.85469668503 -0.22364433301 0.0319450542473 -0.169530034136 0.819742423057,0.631192491091,2.10566633027,0.74807714977,2.32370615285,0.0138888888889,0.0138888888889,True,PASS,
Nikon D700,FL2,3,9.24646063407,0.699841073359 0.316893856532 0.0469061585276 0.242984349147 0.773589601243 -0.12045383156 0.0438396219978 -0.0940952810938 0.74027073609,0.60247253455,1.89852976422,0.718331935797,2.08163063789,0.0138888888889,0.0138888888889,True,PASS,
Nikon D80,FL2,3,9.21902230841,0.702125985846 0.329284975356 0.0550934916978 0.22809674372 0.758098770913 -0.128434324307 0.0565261786576 -0.0909549613942 0.738563304653,0.764327241398,2.61500148863,0.919934923589,2.8814540847,0.0138888888889,0.0138888888889,True,PASS,
Nikon D90,FL2,3,9.84615723592,0.726242745407 0.330284340959 0.0589320949193 0.237414370226 0.800653552025 -0.190266525412 0.0226190103554 -0.135004404147 0.798109902669,0.663059018405,2.2309301421,0.732803955396,2.44789130483,0.0138888888889,0.0138888888889,True,PASS,
Nokia N900,FL2,3,12.1233603743,0.610816844297 0.176694228026 -0.0610800700106 0.268956314164 0.918492864473 -0.443701042085 0.105716501279 -0.100026382893 1.18664700438,0.861138631898,1.64230905833,0.970712022189,1.87268372636,0.0138888888889,0.0138888888889,True,PASS,
Olympus E-PL2,FL2,3,9.67151675342,0.572410056767 0.210674801522 0.0242699842627 0.356824903507 0.891816879206 -0.205530395844 0.0550483802863 -0.107732475313 0.853647735791,0.942949133591,2.73081405727,1.03928954564,3.08563953019,0.0277777777778,0.0277777777778,True,PASS,
Pentax K-5,FL2,3,10.7278031934,0.7101571775 0.297321512348 0.0558190988658 0.257935632111 0.875960205472 -0.191883458208 0.0179113447649 -0.177864153487 0.803991855108,0.632453983904,1.81956691618,0.693942239486,2.02177968662,0.0138888888889,0.0138888888889,True,PASS,
Pentax Q,FL2,3,12.0416467842,0.594569267038 0.142066571044 -0.000476735863257 0.352458503489 1.01246563152 -0.327539909336 0.0362180736356 -0.160921596021 0.999684003707,0.8318237316,2.04164288373,1.05839343785,2.27628341286,0.0138888888889,0.0138888888889,True,PASS,
Point Grey Grasshopper 50S5C,FL2,3,9.0923053272,0.322821897891 0.0152201830408 0.115626024267 0.643960348582 1.03582336405 -0.409711888804 0.0124400795553 -0.0506411707245 0.949524869556,3.45408068677,7.41460853542,4.20067133608,9.02247879727,0.0277777777778,0.0277777777778,True,FAIL,loocv_median_gt_4;loocv_p95_gt_8
Point Grey Grasshopper2 14S5C,FL2,3,8.6448296308,0.542322594081 0.214123049518 0.054043851926 0.409886513763 0.884110476126 -0.157746754675 0.0305778060991 -0.102360890951 0.77603171901,1.61192492694,3.99506191035,1.80263088547,4.48411437895,0.0277777777778,0.0277777777778,True,PASS,
Phase One,FL2,3,12.973932446,0.962403140675 0.48294063258 0.0401336142572 -0.137868924955 0.606535991071 -0.404889950196 0.171682237745 -0.0908848368469 1.0373964433,1.19406593051,2.41674389514,1.35690510689,2.67574540433,0.0277777777778,0.0277777777778,True,PASS,
SONY NEX-5N,FL2,3,10.99800684,0.772830258789 0.346036994602 0.0528314266843 0.190196254153 0.8319219378 -0.187330395995 0.0264107419762 -0.182142977041 0.808485049537,0.594329415159,1.42822883157,0.667299349063,1.59040600601,0.0138888888889,0.0138888888889,True,PASS,
Canon 1DMarkIII,FL11,3,8.39816486718,0.814831712675 0.346659449799 0.0378241174135 0.0864010852844 0.722183608681 -0.125821038689 0.105397162303 -0.0712918824176 0.726194287061,0.625006774545,1.76782455502,0.774383329521,1.94706272172,0.0138888888889,0.0138888888889,True,PASS,
Canon 20D,FL11,3,8.70766747935,0.805894621654 0.315752465916 0.0497014424676 0.100919223621 0.749437278684 -0.163719702543 0.0995181330674 -0.0667789547305 0.749632559468,0.738389682465,2.62822180523,0.839914831372,2.94624870175,0.0138888888889,0.0138888888889,True,PASS,
